Name,Iata Code,Latitude,Longitude
Sahnewal, LUH, 30.8504, 75.9571
Solapur, SSE, 17.6254, 75.9331
Birsa Munda, IXR, 23.3177, 85.3236
Ahwaz, AWZ, 31.3432, 48.7471
Gwalior, GWL, 26.2855, 78.2172
Hodeidah Int'l, HOD, 14.7553, 42.9711
Devi Ahilyabai Holkar Int'l, IDR, 22.7277, 75.8093
Gandhinagar, ISK, 19.9660, 73.8106
Chandigarh Int'l, IXC, 30.6707, 76.8017
Aurangabad, IXU, 19.8673, 75.3958
Faisalabad Int'l, LYP, 31.3627, 72.9878
Omsk Tsentralny, OMS, 54.9576, 73.3164
Novosibirsk Tolmachev, OVB, 55.0096, 82.6672
Zaporozhye Int'l, OZH, 47.8733, 35.3019
Simpang Tiga, PKU, 0.4646, 101.4466
Rota Int'l, ROP, 14.1718, 145.2440
Surgut, SGC, 61.3402, 73.4085
Tiruchirappalli, TRZ, 10.7604, 78.7090
Turbat Int'l, TUK, 25.9888, 63.0279
Quetta Int'l, UET, 30.2490, 66.9487
Zahedan Int'l, ZAH, 29.4753, 60.9007
Abdul Rachman Saleh, MLG, -7.9300, 112.7114
Barnaul, BAX, 53.3634, 83.5505
Adampur, NULL, 31.4329, 75.7585
Bareilly, NULL, 28.4218, 79.4520
Dhamial, NULL, 33.5614, 73.0320
Cheongju Int'l, CJJ, 36.7220, 127.4959
Gwangju, KWJ, 35.1400, 126.8108
Daegu Int'l, TAE, 35.8999, 128.6375
Ulsan, USN, 35.5929, 129.3557
Radin Inten II, TKG, -5.2426, 105.1761
Allahabad, IXD, 25.4435, 81.7317
Chelyabinsk, CEK, 55.2978, 61.5123
Tainan, TNN, 22.9507, 120.2097
Taichung, RMQ, 24.2667, 120.6307
Rotterdam The Hague, RTM, 51.9491, 4.4338
Voronezh-Chertovitskoye, VOZ, 51.8126, 39.2254
Liverpool John Lennon, LPL, 53.3364, -2.8586
Vishakapatnam, VTZ, 17.7280, 83.2235
Sultan Hasanuddin Int'l, UPG, -5.0589, 119.5457
Vava'u Int'l, VAV, -18.5860, -173.9681
Newcastle Int'l, NCL, 55.0371, -1.7103
Goloson Int'l, LCE, 15.7452, -86.8515
Madinah Int'l, MED, 24.5442, 39.6991
Mirabel Int'l, YMX, 45.6832, -74.0287
Palanga Int'l, PLQ, 55.9713, 21.0974
Jaipur Int'l, JAI, 26.8212, 75.8010
Sonari, IXW, 22.8154, 86.1725
Yenisehir, YEI, 40.2555, 29.5449
Şakirpaşa, ADA, 36.9852, 35.2970
Kodiak, ADQ, 57.7486, -152.4856
Amarillo Int'l, AMA, 35.2184, -101.7054
Alice Springs, ASP, -23.8020, 133.9029
Raja Sansi Int'l, ATQ, 31.7068, 74.8072
Biju Patnaik, BBI, 20.2527, 85.8169
Bethel, BET, 60.7787, -161.8390
Palonegro, BGA, 7.1277, -73.1809
Birmingham Int'l, BHM, 33.5619, -86.7524
Broken Hill, BHQ, -31.9990, 141.4704
Logan Int'l, BIL, 45.8037, -108.5369
Bismarck Muni., BIS, 46.7751, -100.7575
Del Bajio Int'l, BJX, 20.9859, -101.4788
Benin, BNI, 6.3172, 5.6037
Bourgas, BOJ, 42.5671, 27.5164
Bremen, BRE, 53.0523, 8.7859
Jacinto Lara Int'l, BRM, 10.0453, -69.3561
Brownsville-South Padre Island Int'l, BRO, 25.9063, -97.4318
Bristol Int'l, BRS, 51.3863, -2.7109
Baton Rouge Metro, BTR, 30.5326, -91.1568
Bratislava-M.R. Štefánik, BTS, 48.1698, 17.2000
Burlington Int'l, BTV, 44.4692, -73.1551
Columbia Metro, CAE, 33.9342, -81.1093
Calicut Int'l, CCJ, 11.1396, 75.9510
Cocos (Keeling) Islands, CCK, -12.1852, 96.8287
Corfu Int'l (Ioannis Kapodistrias), CFU, 39.6068, 19.9148
Changchun Longjia Int'l, CGQ, 43.9930, 125.6905
Charleston Int'l, CHS, 32.8845, -80.0369
Coimbatore, CJB, 11.0301, 77.0389
Someseni, CLJ, 46.7827, 23.6870
Ignacio Agramonte, CMW, 21.4247, -77.8451
Casper/Natrona County Int'l, CPR, 42.8972, -106.4644
Clark Int'l, CRK, 15.1876, 120.5508
Yeager, CRW, 38.3706, -81.5964
Catania Fontanarossa, CTA, 37.4701, 15.0675
Chetumal Int'l, CTM, 18.5064, -88.3243
Cardiff, CWL, 51.3986, -3.3396
Gerrard Smith, CYB, 19.6899, -79.8795
Cozumel Int'l, CZM, 20.5116, -86.9304
James M. Cox Dayton Int'l, DAY, 39.8990, -84.2205
Dubbo, DBO, -32.2187, 148.5697
Washington Nat'l, DCA, 38.8537, -77.0433
Durango Int'l, DGO, 24.1262, -104.5338
Voloskoye, DNK, 48.3676, 35.0939
Donetsk, DOK, 48.0692, 37.7448
Santa Bernardina Int'l, DZO, -33.3591, -56.4993
Edinburgh Int'l, EDI, 55.9486, -3.3643
Terrance B. Lettsome Int'l, EIS, 18.4444, -64.5372
Elko Reg., EKO, 40.8276, -115.7865
Ensenada, ESE, 31.7977, -116.5957
Vágar, FAE, 62.0625, -7.2708
Hector Int'l, FAR, 46.9198, -96.8255
Fresno Yosemite Int'l, FAT, 36.7698, -119.7200
Flagstaff Pulliam, FLG, 35.1389, -111.6747
Mundo Maya Int'l, FRS, 16.9150, -89.8778
Sioux Falls Reg., FSD, 43.5802, -96.7314
Spokane Int'l, GEG, 47.6255, -117.5368
Exuma Int'l, GGT, 23.5639, -75.8726
Gibraltar, GIB, 36.1513, -5.3468
Gerald R. Ford Int'l, GRR, 42.8848, -85.5296
Triad Int'l, GSO, 36.1054, -79.9365
Great Falls Int'l, GTF, 47.4823, -111.3567
Gaziantep Oğuzeli Int'l, GZT, 36.9454, 37.4738
Hubli, HBX, 15.3592, 75.0863
Hat Yai Int'l, HDY, 6.9363, 100.3938
Hefei-Luogang, HFE, 31.7799, 117.3042
Hurghada Int'l, HRG, 27.1804, 33.8072
Kharkov Int'l, HRK, 49.9215, 36.2822
Huntsville Int'l, HSV, 34.6483, -86.7749
Ibadan, IBA, 7.3603, 3.9738
Kansas City Int'l, ICT, 37.6529, -97.4287
Wilmington Int'l, ILM, 34.2668, -77.9104
Ilorin Int'l, ILR, 8.4354, 4.4948
Falls Int'l, INL, 48.5660, -93.3980
Inverness, INV, 57.5395, -4.0636
Imperial Cty., IPL, 32.8340, -115.5720
Jammu, IXJ, 32.6810, 74.8423
Madurai, IXM, 9.8372, 78.0911
Jodhpur, JDH, 26.2638, 73.0505
Jabalpur, JLR, 23.1845, 80.0587
Kilimanjaro Int'l, JRO, -3.4244, 37.0652
Kaduna, KAD, 10.6946, 7.3253
Kananga, KGA, -5.9002, 22.4783
Kumasi, KMS, 6.7146, -1.5926
Viña del Mar, KNA, -32.9484, -71.4806
Kanpur, KNU, 26.4042, 80.4145
Kona Int'l at Keahole, KOA, 19.7371, -156.0409
Kirkwall, KOI, 58.9544, -2.9014
Kota, KTU, 25.1634, 75.8505
Konya, KYA, 37.9840, 32.5757
Blue Grass, LEX, 38.0374, -84.5983
Lihue, LIH, 21.9781, -159.3491
Clinton National, LIT, 34.7284, -92.2206
Los Mochis, LMM, 25.6885, -109.0827
Venustiano Carranza Int'l, LOV, 26.9554, -101.4650
Laredo Int'l, LRD, 27.5437, -99.4557
Sumburgh, LSI, 59.8767, -1.2881
Bassel Al-Assad Int'l, LTK, 35.4073, 35.9442
London Luton, LTN, 51.8803, -0.3762
Svalbard Longyear, LYR, 78.2467, 15.4952
Sangster Int'l, MBJ, 18.5012, -77.9184
Mandalay Int'l, MDL, 21.7055, 95.9707
Chicago Midway Int'l, MDW, 41.7883, -87.7421
Eloy Alfaro Int'l, MEC, -0.9496, -80.6834
Montgomery Reg., MGM, 32.3046, -86.3903
Manchester-Boston Reg., MHT, 42.9279, -71.4375
Maiduguri Int'l, MIU, 11.8535, 13.0851
Mbuji Mayi, MJM, -6.1248, 23.5721
Minot Int'l, MOT, 48.2556, -101.2914
Missoula Int'l, MSO, 46.9188, -114.0837
Gen R.S. Taboada Int'l, MXL, 32.6286, -115.2479
Malpensa, MXP, 45.6274, 8.7130
Norfolk Island, NLK, -29.0352, 167.9434
Nurnberg, NUE, 49.4945, 11.0774
Odessa Int'l, ODS, 46.4406, 30.6768
Gold Coast, OOL, -28.1665, 153.5129
Oran Es Senia, ORN, 35.6203, -0.6068
Lok Nayak Jaiprakash, PAT, 25.5944, 85.0909
Paysandu, PDU, -32.3615, -58.0685
Paphos Int'l, PFO, 34.7134, 32.4832
Sultan Mahmud Badaruddin II, PLM, -2.9000, 104.6991
Polokwane Int'l, PTG, -23.8590, 29.4533
Punta Cana, PUJ, 18.5630, -68.3632
Queretaro Int'l, QRO, 20.6225, -100.1874
Rajkot, RAJ, 22.3093, 70.7800
Richmond Int'l, RIC, 37.5083, -77.3331
Shah Makhdum, RJH, 24.4448, 88.6138
Greater Rochester Int'l, ROC, 43.1276, -77.6652
Rockhampton, ROK, -23.3786, 150.4789
Rostov-on-Don, ROV, 47.2551, 39.8035
Saratov, RTW, 51.5606, 46.0350
Ramón Villeda Morales Int'l, SAP, 15.4559, -87.9272
Santa Barbara Muni., SBA, 34.4257, -119.8366
Deadhorse, SCC, 70.1975, -148.4579
Kangerlussuaq, SFJ, 67.0181, -50.6942
Springfield Reg., SGF, 37.2421, -93.3826
Shreveport Reg., SHV, 32.4546, -93.8285
Simferopol Int'l, SIP, 45.0202, 33.9961
Sitka Rocky Gutierrez, SIT, 57.0535, -135.3657
Los Cabos Int'l, SJD, 23.1627, -109.7179
McNary Field, SLE, 44.9105, -123.0079
Plan de Guadalupe, SLW, 25.5480, -100.9323
Shannon, SNN, 52.6935, -8.9224
Santo Pekoa Int'l, SON, -15.5055, 167.2209
Achmad Yani, SRG, -6.9787, 110.3786
Srinagar, SXR, 33.9831, 74.7826
Tapachula Int'l, TAP, 14.7911, -92.3700
Podgorica, TGD, 42.3679, 19.2467
Tallahassee Reg., TLH, 30.3956, -84.3450
Turin Int'l, TRN, 45.1917, 7.6442
Taiyuan Wusu Int'l, TYN, 37.7545, 112.6259
Narsarsuaq, UAK, 61.1626, -45.4164
U-Tapao, UTP, 12.6853, 101.0002
Victoria Falls, VFA, -18.0990, 25.8468
Vijaywada, VGA, 16.5286, 80.7973
Varanasi, VNS, 25.4499, 82.8539
Juan Gualberto Gomez, VRA, 23.0395, -81.4367
Villahermosa, VSA, 17.9931, -92.8191
Brandon, YBR, 49.9047, -99.9459
CFB Edmonton, YED, 53.6749, -113.4788
Iqaluit, YFB, 63.7512, -68.5367
John C. Munro Hamilton Int'l, YHM, 43.1634, -79.9264
Fort McMurray, YMM, 56.6563, -111.2238
Yantai, YNT, 37.4077, 121.3720
Peace River, YPE, 56.2319, -117.4437
Greater Moncton Int'l, YQM, 46.1162, -64.6887
Sydney/J.A. Douglas McCurdy, YQY, 46.1673, -60.0469
Resolute Bay, YRB, 74.7182, -94.9708
Fort Smith, YSM, 60.0199, -111.9611
Thompson, YTH, 55.7975, -97.8607
Timmins, YTS, 48.5662, -81.3720
Repulse Bay, YUT, 66.5333, -86.2500
Kuujjuaq, YVP, 58.1020, -68.4333
Wabush, YWK, 52.9261, -66.8730
Edmonton City Centre, YXD, 53.5709, -113.5230
Fort St. John (N. Peace), YXJ, 56.2460, -120.7364
North Bay/Jack Garland, YYB, 46.3587, -79.4249
Zaria, ZAR, 11.1353, 7.6873
Skopje, SKP, 41.9565, 21.6282
Burnpur, NULL, 23.6312, 86.9745
Hindon Air Force Station, NULL, 28.7078, 77.3508
Sunchon, NULL, 39.4120, 125.8908
Łódź Władysław Reymont, LCJ, 51.7272, 19.4032
Alma Ata N.W., BXJ, 43.3554, 76.8783
Jiamusi Dongjiao, JMU, 46.8430, 130.4562
Mudanjiang Hailang, MDG, 44.5343, 129.5802
Severomorsk-3 (Murmansk N.E.), NULL, 69.0169, 33.2904
Mosul Int'l, OSB, 36.3086, 43.1458
Rostov N., NULL, 47.2774, 39.6354
Rostov S.W., NULL, 47.1159, 39.7972
Oulu, OUL, 64.9288, 25.3728
Bordeaux, BOD, 44.8321, -0.7018
Mandelieu, CEQ, 43.5461, 6.9543
St Gatien, DOL, 49.3617, 0.1587
Lille-Lesquin, LIL, 50.5716, 3.1060
Toulouse-Blagnac, TLS, 43.6305, 1.3735
Fukuoka, FUK, 33.5848, 130.4442
Hiroshima-Nishi, HIW, 34.3714, 132.4194
Nagoya, NKM, 35.2541, 136.9196
Sendai, SDJ, 38.1382, 140.9302
Kirkenes Hoybuktmoen, KKN, 69.7238, 29.8913
Marechal Rondon Int'l, CGB, -15.6511, -56.1202
Hercilio Luz Int'l, FLN, -27.6646, -48.5448
Joinville-Lauro C. de Loyola, JOI, -26.2243, -48.8016
Presidente Castro Pinto Int'l, JPA, -7.1462, -34.9489
Augusto Severo Int'l, NAT, -5.8991, -35.2488
Francisco Sa Carneiro, OPO, 41.2369, -8.6713
Marechal Cunha Machado Int'l, SLZ, -2.5835, -44.2362
Santos Air Force Base, SSZ, -23.9238, -46.3053
Teresina-Senador Petronio Portella, THE, -5.0635, -42.8212
Viracopos-Campinas Int'l, VCP, -23.0096, -47.1411
Eurico de Aguiar Salles, VIX, -20.2574, -40.2885
Alicante, ALC, 38.2866, -0.5572
Almeria, LEI, 36.8478, -2.3716
Valencia, VLC, 39.4915, -0.4735
Kiruna_Airport, KRN, 67.8256, 20.3352
Norrköping Airport, NRK, 58.5834, 16.2339
Husein Sastranegara Int'l, BDO, -6.9004, 107.5756
Rosario – Islas Malvinas Int'l, ROS, -32.9162, -60.7801
Maceio/Zumbi dos Palmares Int'l, MCZ, -9.5149, -35.7925
Sharm el-Sheikh Int'l, SSH, 27.9804, 34.3901
Taba Int'l, TCP, 29.5945, 34.7758
Agra, AGR, 27.1577, 77.9609
Vadodara, BDQ, 22.3362, 73.2263
